cars_passed,lanes_crossed,max_speed,avg_speed,closest_same_lane,closest_any,crashed
2,8,29.892095766846726,21.073759615421697,4.442785569980369,4.442785569980369,0
2,3,29.960047462490476,22.661780663625073,14.01748122688659,1.9999968809179007,0
4,11,29.97995933473624,22.78654593178658,7.758283934785251,6.000000000000082,0
0,16,25.0,20.11349471475945,4.7435469663299585,4.7435469663299585,0
4,4,29.999957263119796,23.046679798174072,26.013774000476413,5.024356608737123,0
1,2,28.741927883816647,22.365150343894815,9.876985230030153,1.9995934394993924,0
0,44,29.892055953801744,21.86576636767767,12.504070426149308,8.5556720760824,0
0,36,26.1422235619243,21.651024679007932,19.565106164801595,12.497063460221282,0
3,13,29.84397228672859,23.722609447314763,9.773291023411401,2.984529269129495,0
6,5,29.994763303036844,24.33742992448083,3.493223183392446,2.0,0
2,33,28.732080334572593,22.417275957187254,3.440293373857145,3.440293373857145,0
1,5,29.664615659915054,23.220715183321545,2.0490086224289144,2.0490086224289144,1
2,10,27.58765422862807,22.223277306083446,6.128856416321605,2.1937950053150534,0
2,15,29.98637602246668,23.109356123328435,6.688985749978855,6.688985749978855,0
0,28,29.591066292043415,21.80223377351532,3.835908561116557,3.835908561116557,0
5,9,29.989331874393905,24.225517490791514,1.337731600570083,1.337731600570083,0
0,33,25.0,22.10024604680801,12.842353693826277,10.832816462357496,0
3,16,29.945860746683003,23.46557401036816,8.347398449217103,5.999999999999999,0
3,0,28.819468408274954,22.830800249445364,38.30484629489149,10.0,0
1,34,29.83135646530824,22.980136075798082,3.8033637352143534,3.8033637352143534,0
0,36,25.0,21.975787676818776,8.848701095099853,8.562076200387157,0
5,9,29.99659650087688,24.607723554490793,4.891239061274339,1.9999829014164296,0
4,0,29.999999771976153,23.92144173462696,17.186716829927718,2.0000706682803315,0
1,8,29.501191860779212,21.994266352848076,8.833624592564133,1.9995596719745659,0
1,38,28.223678167529275,23.0157421333728,12.3175326570807,9.983958595880722,0
1,24,29.784814801778126,23.14376005997114,3.6406223515417167,3.6406223515417167,0
0,18,25.0,20.67640439757915,12.170721080508507,11.312130624775662,0
4,13,29.997572783544094,23.987583781241888,8.978087891653075,1.9999899934755918,0
2,2,29.841215233230315,22.36514946668245,8.126284168484975,2.033880044647657,0
1,5,28.517733596603254,21.766841079091822,10.102611541710639,5.16886051132414,0
2,18,29.980864245917036,22.774403221608537,18.35866836764144,8.988705940598482,0
6,35,29.990352683899943,25.042517302219622,18.529851257038853,14.380176178597903,0
3,3,29.996572010740454,22.65758096853762,26.80748403255882,5.9999999999987805,0
1,14,29.7758055009339,21.353051810232657,27.824641962122662,10.526239085439395,0
1,22,25.0,20.510845708136923,3.5811577772525265,3.462543994141365,0
5,31,29.684189376302214,23.552072853862516,6.147494744330989,5.9999100025306165,0
5,10,29.99915486704485,24.37580203108174,6.2292073834653845,1.999990042066611,0
1,1,25.425603159201884,21.371772860454623,7.497156118645989,2.000103319280937,0
2,13,29.999046298805705,23.417994771023622,13.387768104638953,5.999974191014137,0
1,8,28.517198890692512,21.982181567894585,11.677394605762862,9.292325259710818,0
3,27,29.99495747956838,24.186313599717174,9.54888251500461,6.0000000352675755,0
6,8,29.999999146737764,25.30123978565903,10.530507456017176,1.9999999994780095,0
5,8,29.999886585030364,23.358527825433022,2.0628824421570564,2.0002708044733053,0
2,8,29.98637730198631,21.822472513280808,4.972841658309379,4.430032196229806,0
0,51,25.0,21.667978631661747,14.286416738535255,11.165732155110106,0
3,23,29.999470162762304,24.340300122047278,11.011435639862448,2.0000003249098057,0
1,9,25.0,21.234783342161524,6.124121036859928,2.0000006297980413,0
6,11,29.945328928316854,24.93730833960814,3.9142501342282143,1.9999999777825934,0
3,13,29.999896238070292,23.389905057345764,14.894235118526751,5.560053338444806,0
2,5,25.0,21.23932252932898,15.664335535252228,2.000000000000014,0
0,20,29.972853859253195,22.464402034414604,11.543875901420455,5.948944522478727,0
1,20,29.915743970735605,22.098499112878994,7.44713310318772,5.992017455921431,0
1,37,29.14479998177346,22.54967611030879,7.157711948864256,7.157711948864256,0
1,19,27.491940873719926,21.691919940918304,9.444250142218289,9.388469122397199,0
1,15,29.97995933473624,22.26577322331779,5.97348019050208,2.049459275263483,0
5,6,29.999986961946927,26.00753081564385,6.555972639944669,2.0000000001645013,0
2,2,29.996315614767692,22.10024968151178,14.29693505086467,2.0007838703041543,0
2,2,29.9899473653177,22.034024516083946,17.162503808694133,2.000150095004135,0
3,0,29.999959707702658,22.685103457686754,30.56219526750982,2.0,0
1,25,27.48694115784197,21.93467169894487,6.466844015052571,6.466844015052571,0
1,27,29.945853787832608,21.894776529766173,4.1969626970375336,4.1969626970375336,0
1,9,28.718438339587774,22.33567903442317,2.7033698180297416,2.7033698180297416,0
6,0,29.999919674347154,23.920552174365813,104.71373868088358,7.097825072063002,0
0,10,25.0,20.808858842912677,12.039058221553457,10.686698264635796,0
4,21,29.99517256778075,24.58493991892809,10.011092494844423,6.000000000065906,0
0,40,25.0,21.848464480745456,5.438324046221363,5.438324046221363,0
3,11,29.784805601741876,22.77215303121713,32.43255728014285,6.202897782462041,0
4,1,29.987632563707958,22.86183908562034,12.879385591133596,0.14827042114217148,0
4,6,29.982547508428855,23.781604199431996,6.8823024560413675,1.999053840323243,0
0,4,25.0,20.80885034193365,20.55381185619749,7.391527995691249,0
4,13,29.666508804330682,23.768993959838415,4.051660744644143,2.0,0
0,15,29.68345091009639,21.833995610421812,19.647710900189516,13.043683789039623,0
2,14,29.83277034716312,22.769988442432307,14.628350624980719,14.628350624980719,0
2,11,29.08068326836238,22.293786369429668,6.845815815182748,1.999853172631426,0
0,43,25.0,21.466026760315565,9.697661062523748,9.599076863997267,0
1,5,25.0,21.28512711849696,13.283648958145648,8.46443299342463,0
0,24,28.16941883227544,21.43911329659167,5.547550774094497,4.400723624849198,0
0,25,29.923549069154397,22.13288094276047,3.9448569062041177,3.9448569062041177,0
2,20,29.94585375077221,22.569724099302345,4.265531208954812,3.444506148067304,0
